# This file was written from pixieBinParser2.py and was
# parsed from Proximity_scan_120814_0042.bin. The file has been reformatted.
# It was written on May 18, 2015


# pixieBinParser2.py was written by Anders Priest.


Time		E0	E1	E2	E3	E4	E5	E6	E7	

944240107418	-10.0	-2.0	38.0	33.0	13.0	5.0	-16.0	-25.0	
944241049759	-17.0	0.0	-9.0	10.0	221.0	803.0	783.0	162.0	
944241331304	32.0	48.0	115.0	351.0	-5.0	12.0	26.0	21.0	
944241387597	-11.0	33.0	84.0	876.0	158.0	61.0	63.0	79.0	
944241528612	-7.0	29.0	138.0	842.0	-52.0	-34.0	-25.0	-17.0	
944242299951	0.0	38.0	20.0	1.0	118.0	327.0	1358.0	2828.0	
944243502304	8.0	-18.0	6.0	1.0	1998.0	11833.0	3436.0	850.0	
944243644702	12.0	-27.0	-5.0	-15.0	480.0	862.0	154.0	66.0	
944244461284	39.0	207.0	946.0	1363.0	1031.0	3516.0	25637.0	3869.0	
944245572365	10.0	-2.0	13.0	-58.0	871.0	2369.0	409.0	121.0	
944245550062	88.0	24.0	0.0	2.0	97.0	60.0	140.0	517.0	
944250711852	12.0	14.0	8.0	9.0	1431.0	320.0	109.0	68.0	
944252176515	101.0	38.0	95.0	913.0	130.0	25.0	7.0	-10.0	
944253722073	-61.0	-12.0	-19.0	-2.0	18.0	68.0	191.0	1021.0	
944254635201	8340.0	2145.0	630.0	271.0	173.0	70.0	56.0	24.0	
944254610747	33.0	41.0	99.0	886.0	935.0	2978.0	1289.0	332.0	
944256698164	304.0	60.0	51.0	-7.0	-14.0	-14.0	-10.0	-25.0	
944256861096	22.0	11.0	121.0	572.0	1251.0	332.0	217.0	179.0	
944258511196	82.0	44.0	24.0	68.0	50.0	148.0	408.0	1348.0	
944258876172	-7.0	253.0	982.0	3757.0	56.0	124.0	448.0	378.0	
944263709892	-23.0	23.0	63.0	886.0	147.0	311.0	1498.0	973.0	
944266839793	19.0	10.0	2.0	18.0	106.0	104.0	82.0	115.0	
944266919728	3.0	-39.0	-21.0	-45.0	47.0	200.0	398.0	87.0	
944267440053	1343.0	217.0	70.0	31.0	955.0	171.0	80.0	16.0	
944268751615	291.0	50.0	103.0	222.0	127.0	144.0	102.0	88.0	
944270051891	1.0	1.0	89.0	841.0	-9.0	-203.0	-201.0	-184.0	
944270882006	60.0	56.0	27.0	54.0	67.0	-207.0	167.0	332.0	
944271516599	34.0	46.0	29.0	32.0	15.0	-197.0	46.0	20.0	
944271701574	-5.0	5.0	-14.0	23.0	12.0	-209.0	25.0	6.0	
944272033813	3.0	-33.0	-11.0	-54.0	114.0	391.0	723.0	139.0	
944272557766	5226.0	1973.0	567.0	194.0	257.0	875.0	2120.0	592.0	
944272843651	-21.0	17.0	-8.0	-19.0	37.0	197.0	661.0	3995.0	
944273159491	-3.0	-9.0	-17.0	1.0	35.0	35.0	42.0	46.0	
944273245406	-17.0	-6.0	10.0	22.0	172.0	355.0	1395.0	263.0	
944273734892	98.0	558.0	84.0	4.0	3261.0	604.0	192.0	87.0	
944273963715	362.0	976.0	203.0	58.0	25.0	153.0	2031.0	112.0	
944274722562	69.0	110.0	1147.0	157.0	927.0	2630.0	445.0	111.0	
944275440850	-14.0	44.0	147.0	673.0	300.0	392.0	899.0	6092.0	
944275776302	1.0	3.0	9.0	24.0	143.0	59.0	30.0	7.0	
944276820480	0.0	35.0	49.0	17.0	-9.0	-22.0	22.0	5.0	
944277618997	3.0	0.0	-3.0	1.0	1561.0	250.0	64.0	-2.0	
944277838441	8170.0	1460.0	461.0	222.0	-30.0	-14.0	-42.0	13.0	
944278978815	62.0	170.0	927.0	570.0	215.0	61.0	19.0	-7.0	
944281274902	19.0	66.0	129.0	924.0	195.0	71.0	18.0	27.0	
944282131223	16.0	121.0	658.0	566.0	249.0	111.0	84.0	58.0	
944284214555	3.0	9.0	4.0	-7.0	104.0	445.0	628.0	123.0	
944285580130	157.0	567.0	2828.0	1689.0	-5.0	75.0	195.0	1321.0	
944286026268	-27.0	38.0	122.0	867.0	-30.0	-24.0	-25.0	-10.0	
944286406190	6.0	-3.0	10.0	15.0	150.0	108.0	114.0	80.0	
944288909487	55.0	15.0	8.0	15.0	168.0	33.0	46.0	-9.0	
944291018074	-21.0	-20.0	-26.0	9.0	62.0	40.0	104.0	418.0	
944291936414	186.0	565.0	1846.0	8297.0	793.0	2238.0	309.0	136.0	
944292049119	32.0	20.0	108.0	898.0	113.0	213.0	405.0	874.0	
944292150505	2.0	68.0	130.0	741.0	921.0	6726.0	1187.0	333.0	
944293864036	55.0	17.0	34.0	-17.0	12172.0	6750.0	4733.0	3243.0	
944295573323	11.0	37.0	241.0	35.0	104.0	285.0	901.0	141.0	
944295633693	81.0	480.0	273.0	97.0	26.0	81.0	234.0	1183.0	
944295956821	217.0	1005.0	915.0	257.0	966.0	2739.0	9766.0	26131.0	
944296463005	5.0	12.0	-11.0	-8.0	8370.0	1940.0	603.0	199.0	
944299111661	23.0	26.0	43.0	48.0	49.0	177.0	634.0	1273.0	
944300177039	41.0	37.0	9.0	22.0	29.0	35.0	164.0	936.0	
944305343146	-9.0	-9.0	83.0	859.0	343.0	353.0	182.0	136.0	
944305539241	102.0	247.0	321.0	341.0	73.0	21.0	10.0	6.0	
944305758837	376.0	2336.0	327.0	94.0	83.0	227.0	1190.0	134.0	
